DateTime	Middel
2011-01-01	2.2
2011-01-02	-1.8
2011-01-03	-3.7
2011-01-04	-0.3
2011-01-05	-1.2
2011-01-06	-0.3
2011-01-07	-0.2
2011-01-08	2.7
2011-01-09	2
2011-01-10	1.2
2011-01-11	-0.5
2011-01-12	0.7
2011-01-13	0.5
2011-01-14	1.6
2011-01-15	3.4
2011-01-16	5.9
2011-01-17	4.1
2011-01-18	2.8
2011-01-19	1.3
2011-01-20	-0.9
2011-01-21	-1.2
2011-01-22	0.5
2011-01-23	0.8
2011-01-24	1.8
2011-01-25	1.6
2011-01-26	-2.9
2011-01-27	-4.6
2011-01-28	-2.4
2011-01-29	-0.1
2011-01-30	-1.2
2011-01-31	-0.8
