DateTime	Nedbør
2020-01-01	0
2020-01-02	0.1
2020-01-03	2.6
2020-01-04	4.1
2020-01-05	0.5
2020-01-06	0.5
2020-01-07	0.8
2020-01-08	1
2020-01-09	10
2020-01-10	3.9
2020-01-11	0.7
2020-01-12	9.9
2020-01-13	0.5
2020-01-14	8.6
2020-01-15	4.8
2020-01-16	0
2020-01-17	0.9
2020-01-18	3.6
2020-01-19	0
2020-01-20	0
2020-01-21	0.1
2020-01-22	0.1
2020-01-23	0.5
2020-01-24	0.8
2020-01-25	0.4
2020-01-26	0.2
2020-01-27	2.9
2020-01-28	3.8
2020-01-29	1.2
2020-01-30	12.3
2020-01-31	2.2
